,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
30,0.10297594070434571,0.008014308680826096,0.003107309341430664,0.0001186435627165448,0.01,1,6,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",0.8276737989215813,0.855059648850685,0.8349922986615588,0.8730035241514305,0.8414606177690059,0.8464379776708523,0.01604950813860536,34,-6.749382700702495,-6.194746919563937,-6.953152571262636,-5.799217666966846,-6.935247589565646,-6.526349489612312,0.4555838653568105,34
71,1.0132373809814452,0.17126721663666855,0.008289432525634766,0.009878436556930128,0.1,1,9,300,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 300}",0.7824777494229704,0.8304827015214985,0.8402615296899969,0.858268027750861,0.845170546721102,0.8313321110212858,0.026016343225437978,35,-7.5829857693003735,-6.69940024985157,-6.841233481773036,-6.126430206858729,-6.8536224961383825,-6.820734440784418,0.46460935802612147,35
70,0.7164251804351807,0.07960676453702227,0.003997993469238281,0.001330393491987968,0.1,1,9,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",0.7824777494229704,0.8304827025175099,0.8402615165585972,0.8582680367257749,0.845170546721102,0.8313321103891909,0.026016344175962568,36,-7.5829857693003735,-6.699400230170159,-6.841233762966943,-6.1264300128863205,-6.8536224961383825,-6.820734454292436,0.4646094195092339,36
69,0.4130244255065918,0.04644080103395267,0.004340124130249023,0.0012770682771357077,0.1,1,9,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.7824777494229704,0.8304827036426197,0.8402614905558078,0.8582680522033467,0.845170546721102,0.8313321085091694,0.026016345588597885,37,-7.5829857693003735,-6.699400207937737,-6.841234319786907,-6.126429678373692,-6.8536224961383825,-6.820734494307419,0.46460952556208185,37
33,0.21659483909606933,0.038156568136863626,0.0032158374786376955,0.00030797067469740593,0.01,1,9,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.7840243786443376,0.8278921138245672,0.8387774769692675,0.8570467677497589,0.8395260618389683,0.8294533598053798,0.024560229915337576,38,-7.555979361794636,-6.750396752921336,-6.872939303725428,-6.152768356519488,-6.977432513398051,-6.861903257671787,0.44955899505837,38
34,0.4142732620239258,0.0824014167238969,0.0028720855712890624,1.4200303440546078e-05,0.01,1,9,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",0.7840243786443376,0.8278921161223851,0.83877745769496,0.857046771160082,0.8395260618389683,0.8294533570921466,0.024560229188953918,39,-7.555979361794636,-6.750396707858957,-6.8729397145586635,-6.152768283128604,-6.977432513398051,-6.861903316147783,0.44955902246426704,39
35,0.6091068744659424,0.13140550085618935,0.0029656410217285155,0.00010343656446181587,0.01,1,9,300,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 300}",0.7840243786443376,0.8278921180159657,0.8387774404648837,0.8570467745704033,0.8395260618389683,0.8294533547069116,0.02456022862292703,40,-7.555979361794636,-6.750396670724048,-6.872940081818945,-6.152768209737755,-6.977432513398051,-6.861903367494688,0.4495590492630187,40
11,0.1580357074737549,0.020090155877018165,0.003104877471923828,9.528113275236713e-05,0.01,0.01,3,300,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.8535568275271906,0.7925700957664183,0.8423827887439712,0.8137002949341007,0.7820464408540367,0.8168512895651435,0.027604480073571042,41,-6.22189906243665,-7.410791542954445,-6.7956573303191234,-7.023921654301449,-8.131588106315544,-7.116771539265443,0.6369980554820208,41
47,0.13458213806152344,0.0066109080786132595,0.0030326366424560545,2.2186715956041598e-05,0.1,0.01,3,300,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.8535568275271906,0.7925700957664183,0.8423827887439712,0.8137002949341007,0.7820464408540367,0.8168512895651435,0.027604480073571042,41,-6.22189906243665,-7.410791542954445,-6.7956573303191234,-7.023921654301449,-8.131588106315544,-7.116771539265443,0.6369980554820208,41
52,0.36369948387145995,0.004708461938468715,0.003454923629760742,3.918835641716399e-05,0.1,0.01,9,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200}",0.7853350453827269,0.71797402228191,0.7741782902579224,0.751892743992028,0.7438241038075677,0.754640841144431,0.023634109002689963,43,-7.533017414996404,-8.641188332199748,-8.134156006053598,-8.105751920515972,-8.815816085136454,-8.245985951780437,0.4519705647715438,43
16,0.3959953784942627,0.018232584910932534,0.0035243988037109374,0.00010473916774765064,0.01,0.01,9,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200}",0.7842170787369067,0.7183696754001159,0.7744472529180834,0.7523028683153352,0.743638685438496,0.7545951121617873,0.023277234944699028,44,-7.552607770967041,-8.635124860541854,-8.129310510766969,-8.099049696212168,-8.819005921868095,-8.247019752071227,0.44626278269205605,44
13,0.2474277973175049,0.013095458358132011,0.0038295269012451174,0.001193661862708405,0.01,0.01,6,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.784493753284894,0.7166474440526649,0.7745718762675995,0.7454312742086027,0.7361077051830078,0.7514504105993536,0.024937280378241295,45,-7.547764281549619,-8.661487462111364,-8.127064380099709,-8.210622772879633,-8.947603777202628,-8.29890853476859,0.48037724227936807,45
49,0.21815228462219238,0.0059741884867639174,0.004259634017944336,0.0014574238569766019,0.1,0.01,6,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.785226738170448,0.7165920647425982,0.7733805086743524,0.7454710159042431,0.7357636019326381,0.7512867858848559,0.02497426292593315,46,-7.5349175323967685,-8.662333834863455,-8.148511487300636,-8.209981852031282,-8.953435505850424,-8.301836042488514,0.48469580803018947,46
46,0.08796281814575195,0.00582579580891479,0.0029399871826171877,1.704811212124548e-05,0.1,0.01,3,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.7223940013972525,0.6337255933347399,0.7141412525509453,0.6755843748109049,0.6492836700905025,0.6790257784368692,0.034820805054130675,47,-8.566488182241228,-9.847640835501325,-9.151776282647404,-9.268820182075746,-10.315051085915714,-9.429955313676283,0.6011288234957867,47
10,0.09324746131896973,0.009179406705664575,0.002987957000732422,4.056104792109761e-05,0.01,0.01,3,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.7223940013972525,0.6337255933347399,0.7141412525509453,0.6755843748109049,0.6492836700905025,0.6790257784368692,0.034820805054130675,47,-8.566488182241228,-9.847640835501325,-9.151776282647404,-9.268820182075746,-10.315051085915714,-9.429955313676283,0.6011288234957867,47
15,0.16396422386169435,0.013359585887502651,0.00365447998046875,0.0008996248975033993,0.01,0.01,9,100,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",0.08885376846675797,-0.060633793846063266,0.11562710793997255,0.022422014495544595,0.045588354883919324,0.042371490388026234,0.060902226665403264,49,-15.519668432597408,-16.757593222219654,-16.09708965621138,-16.089749458799258,-17.0161479955291,-16.296049753071358,0.5322549650391875,49
51,0.14951009750366212,0.010145522612266493,0.0032055854797363283,2.3510731591116318e-05,0.1,0.01,9,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",0.08895509151554104,-0.060626834177552436,0.11548465875794867,0.02243832133148338,0.04557407589443363,0.04236506266437086,0.060879897704245074,50,-15.518805484485046,-16.757538242128568,-16.098386012616206,-16.089615262856444,-17.016275284676702,-16.296124057352593,0.5324455315605832,50
48,0.1123499870300293,0.013860796253646689,0.004041862487792969,0.0012147253735316453,0.1,0.01,6,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.0878315731509719,-0.06601424592472083,0.11593459802162709,0.02158891335780433,0.048840523411656234,0.04163627240346775,0.0627641281855118,51,-15.528371583042716,-16.800043957902634,-16.094290991883586,-16.096603916529784,-16.987131897422593,-16.301288469356262,0.5293925727041059,51
12,0.15804486274719237,0.05717199599885908,0.004173374176025391,0.0019077094368615288,0.01,0.01,6,100,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.08759235891465156,-0.06601294770806021,0.1159346783635975,0.021612331893090087,0.048840523411656234,0.04159338897498703,0.06272705929257291,52,-15.530407590832038,-16.800033728159605,-16.09429026057622,-16.096411277082204,-16.987131897422593,-16.30165495081453,0.5288114258757692,52
9,0.05138349533081055,0.01268456694375272,0.0034713268280029295,0.001071421362165502,0.01,0.01,3,100,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.019624851255018005,-0.14336048306330063,0.05187599915525343,-0.046898877691730734,-0.02992983254910464,-0.029737668578772913,0.06678643143923324,53,-16.09846782457735,-17.398848351604588,-16.667183702835416,-16.65044872762397,-17.676537880032523,-16.89829729733477,0.567587765028436,53
45,0.04776463508605957,0.005643923442817855,0.002931499481201172,4.046170510923738e-05,0.1,0.01,3,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.019624851255018005,-0.14336048306330063,0.05187599915525343,-0.046898877691730734,-0.02992983254910464,-0.029737668578772913,0.06678643143923324,53,-16.09846782457735,-17.398848351604588,-16.667183702835416,-16.65044872762397,-17.676537880032523,-16.89829729733477,0.567587765028436,53
8,0.40407352447509765,0.008867726238286435,0.0034476280212402343,2.028694148886856e-05,0.01,0.001,9,300,"{'gamma': 0.01, 'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 300}",-2.2214988367948645,-2.497724589417963,-2.0375967834127247,-2.2756263976014997,-2.1485657173796833,-2.236202464921347,0.15315918581427646,55,-29.182156782715218,-30.43138502686857,-29.83284790995306,-29.452404485626552,-30.906496030767883,-29.96105804718626,0.6319673905174678,57
44,0.3811366558074951,0.0089472559722793,0.0033827304840087892,1.359563002272499e-05,0.1,0.001,9,300,"{'gamma': 0.1, 'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 300}",-2.221503738257033,-2.497726757098704,-2.037587899823704,-2.275624607582074,-2.1486157544039464,-2.236211751433092,0.15315631896423393,56,-29.18217898281373,-30.431394456644316,-29.832804286165437,-29.452396438252254,-30.906741612897417,-29.96110315535463,0.6320398707172631,58
